dress_type;color;size;browser;result;time;exception
Casual;Orange;M;chrome;FAILURE;24;org.openqa.selenium.StaleElementReferenceException
Casual;Orange;L;chrome;FAILURE;147;org.openqa.selenium.NoSuchElementException
Evening;Beige;M;chrome;FAILURE;145;org.openqa.selenium.NoSuchElementException
Evening;Beige;L;chrome;FAILURE;148;org.openqa.selenium.TimeoutException
Evening;Pink;M;chrome;FAILURE;26;org.openqa.selenium.StaleElementReferenceException
Evening;Pink;L;chrome;FAILURE;32;org.openqa.selenium.StaleElementReferenceException
Summer;White;M;chrome;FAILURE;147;org.openqa.selenium.NoSuchElementException
Summer;White;L;chrome;FAILURE;149;org.openqa.selenium.NoSuchElementException
Summer;Black;M;chrome;FAILURE;147;org.openqa.selenium.TimeoutException
Summer;Black;L;chrome;FAILURE;31;org.openqa.selenium.StaleElementReferenceException
Summer;Orange;M;chrome;FAILURE;15;java.lang.IllegalMonitorStateException
Summer;Orange;L;chrome;FAILURE;14;java.lang.IllegalMonitorStateException
Summer;Blue;M;chrome;FAILURE;13;org.openqa.selenium.UnhandledAlertException
Summer;Blue;L;chrome;FAILURE;12;org.openqa.selenium.UnhandledAlertException
Summer;Green;M;chrome;FAILURE;133;org.openqa.selenium.NoSuchElementException
Summer;Green;L;chrome;FAILURE;12;org.openqa.selenium.StaleElementReferenceException
Summer;Yellow;M;chrome;FAILURE;10;org.openqa.selenium.StaleElementReferenceException
Summer;Yellow;L;chrome;FAILURE;10;org.openqa.selenium.UnhandledAlertException
